Poetic Opening,Poem,Author,Lines,Count of Metaphor,Metaphorical Name,meaning,year,extra1,meaning1
தற்கொலை புரியப்போய் மரணம் மறுதலிக்க,கூப்பிடு தூரத்தில் வாழ்க்கை,வைரமுத்து,அதோ பார் உயிரில் பாதி ஒழுகிவிட்டாலும் மிச்ச உயிரைக் கோணிப்பையில் கட்டிவைத்துக் கூனிக்கிடக்கிறானே கிழவன்! ஏன்? அபாயம் அறிந்தால் அங்குலப் புழு மில்லி மீட்டர்களாய்ச் சுருள்கிறதே! ஏன்?,1,அங்குலப் புழு,நீளம் சிறுத்த புளு,2020
தற்கொலை புரியப்போய் மரணம் மறுதலிக்க,கூப்பிடு தூரத்தில் வாழ்க்கை,வைரமுத்து,பறவையாய் இருந்தும் பறக்காத கோழி பருந்து கண்டதும் பறந்தடிக்கிறதே! ஏன்? மரணம் என்ற நிஜத்திற்கு எதிராய் மருத்துவமனையெல்லாம் பொய்யாக இன்னும் போராடுவது ஏன்?,1,மரணம் என்ற நிஜத்திற்கு,மரணம் என்பது தவிர்க்க முடியாதது,2020
தற்கொலை புரியப்போய் மரணம் மறுதலிக்க,கூப்பிடு தூரத்தில் வாழ்க்கை,வைரமுத்து,வலையறுந்து நிலை குலைந்தும் அந்த ஓரிழைச் சிலந்தி ஊசலாடுகிறதே! ஏன்? வாழ்க்கையின் நிமிஷ நீட்டிப்புக்குத்தான்,1,ஓரிழைச் சிலந்தி,தனிமைப்படுத்தப்பட்ட நிலையில் இருப்பவர்,2020
அதிகாலை ஒலிகள் ஐந்துமணிப் பறவைகள்,இது போதும் எனக்கு,வைரமுத்து,அதிகாலை ஒலிகள் ஐந்துமணிப் பறவைகள்,1,ஐந்துமணிப் பறவைகள்,புதிய நாள் தொடங்கும் புதிய தொடக்கங்களை குறிக்கிறது,2011
அதிகாலை ஒலிகள் ஐந்துமணிப் பறவைகள்,இது போதும் எனக்கு,வைரமுத்து,இருட்கதவுதட்டும் சூரியவிரல் பள்ளியெழுச்சி பாடும்உன் பாதக்கொலுசு,2,இருட்கதவுதட்டும் சூரியவிரல்,இருளில் இருந்து வெளிச்சத்திற்கு செல்லும் பயணத்தை குறிக்கிறது.,2011,பள்ளியெழுச்சி பாடும் உன் பாதக்கொலுசு,புதிய நாளில் புதிய வேலைகளைத் தொடங்குவதை குறிக்கிறது
அதிகாலை ஒலிகள் ஐந்துமணிப் பறவைகள்,இது போதும் எனக்கு,வைரமுத்து,உன் கண்ணில் விழிக்கும் என் கண்கள்,1,உன் கண்ணில் விழிக்கும் என் கண்கள் ,இருவர் இடையேயான ஆழமான உறவை குறிக்கிறது.,2011
அதிகாலை ஒலிகள் ஐந்துமணிப் பறவைகள்,இது போதும் எனக்கு,வைரமுத்து,தண்ணீர் போலொரு வெந்நீர் சுகந்தம் பரப்பும் துவாலை,2,தண்ணீர் போலொரு வெந்நீர்,"காதலியின் அன்பை குறிக்கிறது. வெந்நீர் போல, காதலியின் அன்பு இதயத்தை சூடாக்கி, மகிழ்ச்சியைத் தருகிறது",2011,சுகந்தம் பரப்பும் துவாலை,"காதலியின் அழகையும், மென்மையையும் குறிக்கிறது. துவாலை போல, காதலியின் தோல் மென்மையாகவும், சுகந்தத்தையும் வீசுகிறது."
அதிகாலை ஒலிகள் ஐந்துமணிப் பறவைகள்,இது போதும் எனக்கு,வைரமுத்து,குளிப்பறைக்குள் குற்றாலம் நான் குளிக்க நனையும் நீ,2,குளிப்பறைக்குள் குற்றாலம்,"காதலியின் அன்பின் இனிமையை குறிக்கிறது. குற்றாலம் போல, காதலியின் அன்பு குளிர்ந்த நீரின் இனிமையை தருகிறது.",2011,நான் குளிக்க நனையும் நீ ,"காதலியின் அன்பில் தங்களைக் கரைத்துக்கொள்வதை குறிக்கிறது. குளிக்க நனையும்போது, ​​ஒருவர் தங்களைத் தண்ணீரில் விட்டுவிடுகிறார். அதேபோல், காதலியின் அன்பில் தங்களைக் கரைத்துக்கொள்கிறார்கள்."
அதிகாலை ஒலிகள் ஐந்துமணிப் பறவைகள்,இது போதும் எனக்கு,வைரமுத்து,குளத்தங்கரை குளிக்கும் பறவைகள் சிறகு உலர்த்தத் தெறிக்கும் துளிகள் முகம் துடைக்க உன் முந்தானை,1,ஒற்றை நாற்காலி,"காதலின் ஒற்றுமையையும், இணைப்பையும் குறிக்கிறது. ஒரு நாற்காலியில் இருவரும் அமர்ந்திருப்பது போல, காதலர்கள் ஒருவருக்கொருவர் இணைந்து வாழ்கிறார்கள்.",2011
அதிகாலை ஒலிகள் ஐந்துமணிப் பறவைகள்,இது போதும் எனக்கு,வைரமுத்து,நிலா ஒழுகும் இரவு திசை தொலைத்த காடு ஒற்றையடிப்பாதை உன்னோடு பொடிநடை,1,திசை தொலைத்த காடு,"காதலின் புதிமையையும், சாகசத்தையும் குறிக்கிறது. திசை தொலைத்த காட்டில் நடப்பது போல, காதல் ஒரு புதிய மற்றும் சாகசமான அனுபவம்.",2011
அதிகாலை ஒலிகள் ஐந்துமணிப் பறவைகள்,இது போதும் எனக்கு,வைரமுத்து,மரங்கள் நடுங்கும் மார்கழி ரத்தம் உறையும் குளிர் உஷ்ணம் யாசிக்கும் உடல் ஒற்றைப் போர்வை பரஸ்பர வெப்பம்,2,மரங்கள் நடுங்கும் மார்கழி,கடும் குளிர்,2011,ரத்தம் உறையும் குளிர்,கடும் குளிர்
அதிகாலை ஒலிகள் ஐந்துமணிப் பறவைகள்,இது போதும் எனக்கு,வைரமுத்து,தபோவனக் குடில் தரைகோதும் மரங்கள் நொண்டியடிக்கும் தென்றல் ஆறோடும் ஓசை ,1,நொண்டியடிக்கும் தென்றல்,இனிமையான காற்று,2011
